,Date,StainlessSteelPrice
0,07-01-2013,0.804884001088692
1,08-01-2013,0.7805194712446109
2,09-01-2013,0.7776002883919223
3,10-01-2013,0.7720854699734098
4,11-01-2013,0.7728680292695467
5,12-01-2013,0.7754989059637469
6,01-01-2014,0.7763448509425069
7,02-01-2014,0.7900908702181515
8,03-01-2014,0.8401770082123271
9,04-01-2014,0.874032201999274
10,05-01-2014,0.9760218182280151
11,06-01-2014,1.015910316237682
12,07-01-2014,1.0470193441134317
13,08-01-2014,1.0390307690567204
14,09-01-2014,1.0456560510628505
15,10-01-2014,1.0234791539538233
16,11-01-2014,0.9649398647243579
17,12-01-2014,0.9140231676002636
18,01-01-2015,0.8976735725227576
19,02-01-2015,0.8625245651604447
20,03-01-2015,0.8165123600067018
21,04-01-2015,0.8171438934113651
22,05-01-2015,0.8065008428999848
23,06-01-2015,0.804541408527637
24,07-01-2015,0.7615254239167721
25,08-01-2015,0.7227761253796944
26,09-01-2015,0.6698857414034648
27,10-01-2015,0.6483043299423832
28,11-01-2015,0.6000201042141952
29,12-01-2015,0.5894317720303239
30,01-01-2016,0.5744611370089588
31,02-01-2016,0.5656136443287163
32,03-01-2016,0.5685665329429104
33,04-01-2016,0.5854542206876512
34,05-01-2016,0.5701754000512926
35,06-01-2016,0.5744850619942022
36,07-01-2016,0.5825497265598217
37,08-01-2016,0.6041991162096574
38,09-01-2016,0.6179825632064473
39,10-01-2016,0.6324728690154975
40,11-01-2016,0.6922579592238294
41,12-01-2016,0.7280975275959576
42,01-01-2017,0.7735542636615041
43,02-01-2017,0.7884197896056621
44,03-01-2017,0.7797790446934013
45,04-01-2017,0.7871686850381273
46,05-01-2017,0.7633247538651973
47,06-01-2017,0.7431057866880976
48,07-01-2017,0.7339093197713294
49,08-01-2017,0.7317586972792018
50,09-01-2017,0.7525519378262927
51,10-01-2017,0.8064901788487832
52,11-01-2017,0.8120614015693607
53,12-01-2017,0.8277295039434386
54,01-01-2018,0.849826404740819
55,02-01-2018,0.8624004013583968
56,03-01-2018,0.9303060625785972
57,04-01-2018,0.9443497225371382
58,05-01-2018,0.9646245463522315
59,06-01-2018,0.9978843454359182
60,07-01-2018,0.9717415174701914
61,08-01-2018,0.9059339027103442
62,09-01-2018,0.9140248281983687
63,10-01-2018,0.9008811932085002
64,11-01-2018,0.8621767871019594
65,12-01-2018,0.8010994218079115
66,01-01-2019,0.8624727051463319
67,02-01-2019,0.8686045142859425
68,03-01-2019,0.8684762695961513
69,04-01-2019,0.8738395694717216
70,05-01-2019,0.8731152290831559
71,06-01-2019,0.852490655960269
72,07-01-2019,0.8538817100486487
73,08-01-2019,0.908845065528189
74,09-01-2019,0.9817793841576932
75,10-01-2019,0.9873160867330093
76,11-01-2019,0.9670203381808256
77,12-01-2019,0.8818137902409322
78,01-01-2020,0.8744035655067015
79,02-01-2020,0.8665480174000268
80,03-01-2020,0.8047809640776064
81,04-01-2020,0.7284290007963281
82,05-01-2020,0.795335085433519
83,06-01-2020,0.7969386431462151
