date_ymd,time_to_travel_grouping,length_of_stay_grouping,platform_country_code,adv_id,clicks,bookings,booking_rev_EURcent,cost_EURcent
20200908,5,4,TR,139,641,8,368339,4771
20200809,8,4,RO,56,47,0,0,123
20200712,8,1,IL,56,462,0,0,6403
20200427,29,1,ES,56,17,0,0,13
20200806,0,2,ES,56,73,0,0,287
20201207,2,3,TR,139,326,0,0,4096
20200623,8,3,FI,64,12,1,37533,421
20200614,8,7,XX,56,16,0,0,101
20200429,2,2,TW,402,17,0,0,41
20200722,2,3,AT,345,3,0,0,17
20200920,0,1,IN,402,12,0,0,18
20201205,41,4,AE,345,2,0,0,17
20201230,2,2,YY,64,12,1,69641,465
20200806,2,3,AA,64,34,0,0,700
20200825,41,2,ES,58,7,0,0,92
20201017,5,15,AA,56,2,0,0,37
20200513,2,13,HK,56,2,0,0,27
20201115,8,3,CL,64,5,0,0,270
20200703,0,3,US,151,14,0,0,450
20201016,0,1,BG,56,9,1,6754,27
20200911,8,13,KR,90,2,0,0,25
20200412,0,7,HK,56,10,0,0,92
20200910,301,2,ZZ,64,4,0,0,73
20200414,8,1,BG,402,15,0,0,61
20200823,41,3,DK,56,12,0,0,425
20201014,2,7,YY,64,2,0,0,711
20200710,2,3,US,402,15,1,106327,177
20200827,8,3,PL,402,5,0,0,16
20200704,8,8,GR,345,7,0,0,14
20201028,5,1,YY,345,15,0,0,91
20201001,0,2,YY,90,119,4,96609,7692
20201206,41,1,XX,345,20,0,0,193
20200812,29,4,SK,56,3,0,0,18
20201205,41,15,IN,56,4,0,0,72
20200709,15,1,HK,402,7,0,0,30
20200425,8,1,AR,402,15,0,0,58
20201007,8,3,AR,402,5,0,0,22
20201104,41,1,CH,56,33,2,30706,430
20201204,29,4,ZZ,58,2,0,0,66
20200916,0,1,BE,90,2,0,0,1
20200509,29,4,GR,56,7,0,0,8
20201203,0,1,ZZ,58,113,10,66823,2843
20200526,8,2,MY,402,2,0,0,8
20200910,2,1,BE,345,17,0,0,51
20200820,41,15,MY,56,7,0,0,68
20201111,5,2,TR,332,435,8,43396,3563
20201209,2,4,TW,90,2,0,0,11
20200914,15,8,CH,56,2,0,0,34
20200718,15,2,NL,402,40,3,53768,781
20200711,41,8,ES,402,17,0,0,743
